Threads,Average Duration,Average Acceleration
1,0.408488,1
2,0.227564,1.79505
3,0.155838,2.62124
4,0.119428,3.42038
5,0.0918445,4.44761
6,0.0778673,5.24595
7,0.0672609,6.07319
8,0.0609887,6.69778
9,0.0474488,8.60904
10,0.0693066,5.89393
11,0.0397752,10.2699
12,0.0381937,10.6952
13,0.0333745,12.2395
14,0.0317984,12.8462
15,0.0316265,12.916
16,0.0274772,14.8665
17,0.0477729,8.55064
18,0.0457268,8.93324
19,0.0440487,9.27357
20,0.0418053,9.7712
21,0.0397385,10.2794
22,0.0377636,10.817
23,0.0359601,11.3595
24,0.0344914,11.8432
25,0.0330711,12.3518
26,0.0389884,10.4772
27,0.0321599,12.7018
28,0.0295863,13.8067
29,0.0285626,14.3015
30,0.0300617,13.5883
31,0.0269928,15.1333
32,0.0258497,15.8024
33,0.0276756,14.7599
34,0.0245224,16.6578
35,0.0239736,17.0391
36,0.0232295,17.5849
37,0.029769,13.7219
38,0.021892,18.6592
39,0.0216784,18.8431
40,0.0208961,19.5485
41,0.020308,20.1146
42,0.0198062,20.6243
43,0.0194935,20.9551
44,0.0190529,21.4397
45,0.0184158,22.1814
46,0.0182391,22.3963
47,0.0257327,15.8743
48,0.0199646,20.4606
49,0.0173101,23.5983
50,0.0170627,23.9404
51,0.0178033,22.9445
52,0.0239631,17.0466
53,0.0191763,21.3017
54,0.0205353,19.892
55,0.0303921,13.4406
56,0.0262459,15.5639
