Threads,Average Duration,Average Acceleration
1,0.379165,1.03112
2,0.202936,1.92653
3,0.142296,2.74752
4,0.103949,3.76109
5,0.08528,4.58446
6,0.0673398,5.80582
7,0.0551226,7.09261
8,0.0481811,8.11444
9,0.0448899,8.70937
10,0.0551271,7.09203
11,0.0421344,9.27895
12,0.0379673,10.2974
13,0.0582414,6.7128
14,0.0329646,11.8601
15,0.0304734,12.8296
16,0.0278225,14.0521
17,0.041679,9.38034
18,0.0456487,8.56459
19,0.0367162,10.6483
20,0.0356301,10.9728
21,0.034126,11.4565
22,0.0382577,10.2192
23,0.0312411,12.5144
24,0.0300402,13.0147
25,0.0344201,11.3586
26,0.0276893,14.1196
27,0.0273995,14.269
28,0.0266502,14.6702
29,0.0309012,12.652
30,0.025968,15.0555
31,0.0342893,11.4019
32,0.027601,14.1648
33,0.0220721,17.713
34,0.0221464,17.6535
35,0.0210227,18.5972
36,0.0207418,18.849
37,0.0202884,19.2703
38,0.0202239,19.3317
39,0.020491,19.0797
40,0.0266175,14.6882
41,0.0247623,15.7886
42,0.0282405,13.844
43,0.0302045,12.9439
44,0.0254776,15.3454
45,0.0241451,16.1922
46,0.0249749,15.6542
47,0.0249032,15.6993
48,0.0246765,15.8435
49,0.0218411,17.9003
50,0.0336096,11.6325
51,0.0280248,13.9506
52,0.0269606,14.5012
53,0.0266532,14.6685
54,0.0272866,14.328
55,0.0257036,15.2104
56,0.0310092,12.608
