Threads,Attempt,Duration,Acceleration
1,1,0.337774,1.2255
1,2,0.365036,1.13397
1,3,0.412985,1.00232
1,4,0.403273,1.02645
1,5,0.388141,1.06647
1,6,0.354389,1.16804
1,7,0.404685,1.02287
1,8,0.335405,1.23415
1,9,0.33287,1.24355
1,10,0.336957,1.22847
2,1,0.171136,2.41878
2,2,0.170326,2.43028
2,3,0.168331,2.45908
2,4,0.173503,2.38578
2,5,0.176912,2.33981
2,6,0.168359,2.45868
2,7,0.168329,2.45912
2,8,0.169409,2.44344
2,9,0.176575,2.34427
2,10,0.173643,2.38386
3,1,0.125338,3.3026
3,2,0.120894,3.424
3,3,0.121021,3.42039
3,4,0.121364,3.41074
3,5,0.122108,3.38996
3,6,0.122041,3.3918
3,7,0.12208,3.39072
3,8,0.121902,3.39567
3,9,0.122613,3.376
3,10,0.120713,3.42914
4,1,0.0934786,4.42819
4,2,0.0931131,4.44557
4,3,0.0927004,4.46536
4,4,0.0924993,4.47507
4,5,0.093841,4.41109
4,6,0.0928272,4.45926
4,7,0.0935447,4.42506
4,8,0.0931703,4.44284
4,9,0.0928816,4.45665
4,10,0.0934017,4.43183
5,1,0.07571,5.46745
5,2,0.0723325,5.72275
5,3,0.0721251,5.73921
5,4,0.0727049,5.69344
5,5,0.0725069,5.70898
5,6,0.0724455,5.71382
5,7,0.0722852,5.72649
5,8,0.0726049,5.70128
5,9,0.0714287,5.79516
5,10,0.0721266,5.73909
6,1,0.063218,6.54783
6,2,0.0591569,6.99733
6,3,0.0587569,7.04497
6,4,0.0587556,7.04512
6,5,0.0588996,7.02791
6,6,0.0587634,7.0442
6,7,0.0587769,7.04257
6,8,0.0588199,7.03743
6,9,0.0587777,7.04248
6,10,0.0589731,7.01915
7,1,0.054568,7.58578
7,2,0.0505081,8.19553
7,3,0.0503685,8.21824
7,4,0.0515147,8.03539
7,5,0.0508434,8.14148
7,6,0.0503281,8.22485
7,7,0.0503731,8.2175
7,8,0.0503706,8.21791
7,9,0.0503756,8.21708
7,10,0.0503535,8.22069
8,1,0.0473869,8.73534
8,2,0.0441239,9.38132
8,3,0.0441239,9.38132
8,4,0.0442249,9.3599
8,5,0.0441186,9.38246
8,6,0.0440883,9.38891
8,7,0.044096,9.38725
8,8,0.0442845,9.3473
8,9,0.0443754,9.32817
8,10,0.0441819,9.369
9,1,0.0436684,9.47918
9,2,0.0393498,10.5195
9,3,0.0396926,10.4287
9,4,0.0393905,10.5086
9,5,0.0393118,10.5297
9,6,0.0393442,10.521
9,7,0.0393246,10.5262
9,8,0.03941,10.5035
9,9,0.0417103,9.9242
9,10,0.039557,10.4644
10,1,0.0394572,10.4909
10,2,0.035369,11.7035
10,3,0.0353281,11.717
10,4,0.0354015,11.6927
10,5,0.0353993,11.6935
10,6,0.035314,11.7217
10,7,0.0354255,11.6848
10,8,0.0353627,11.7056
10,9,0.0354428,11.6791
10,10,0.0354182,11.6872
11,1,0.0354003,11.6932
11,2,0.0324085,12.7726
11,3,0.0321335,12.8819
11,4,0.032348,12.7965
11,5,0.0326204,12.6896
11,6,0.0323476,12.7967
11,7,0.0332312,12.4564
11,8,0.0321444,12.8775
11,9,0.0321826,12.8622
11,10,0.0322312,12.8429
12,1,0.033249,12.4497
12,2,0.0295467,14.0097
12,3,0.0294846,14.0392
12,4,0.0295037,14.0301
12,5,0.0294848,14.0391
12,6,0.0294761,14.0433
12,7,0.02959,13.9892
12,8,0.0295328,14.0163
