Threads,Duration,Acceleration
1,1333,1
2,770,1.73117
3,572,2.33042
4,473,2.81818
5,403,3.30769
6,360,3.70278
7,335,3.9791
8,337,3.95549
9,284,4.69366
10,268,4.97388
11,256,5.20703
12,252,5.28968
13,290,4.59655
14,253,5.26877
15,262,5.08779
16,243,5.4856
17,228,5.84649
18,267,4.99251
19,229,5.82096
20,244,5.46311
21,245,5.44082
22,228,5.84649
23,226,5.89823
24,239,5.57741
25,236,5.64831
26,221,6.03167
27,248,5.375
28,197,6.7665
29,232,5.74569
30,209,6.37799
31,203,6.5665
32,198,6.73232
33,201,6.63184
34,205,6.50244
35,200,6.665
36,205,6.50244
37,193,6.90674
38,197,6.7665
39,205,6.50244
40,202,6.59901
41,244,5.46311
42,209,6.37799
43,216,6.1713
44,206,6.47087
45,202,6.59901
46,198,6.73232
47,207,6.43961
48,228,5.84649
49,223,5.97758
50,211,6.31754
51,212,6.28774
52,232,5.74569
53,212,6.28774
54,227,5.87225
55,221,6.03167
56,253,5.26877
